,Temperature,std_temperature
0,10.115384615384631,3.4719617680093373
1,8.923076923076902,3.5869475313409023
2,8.446153846153827,3.683050265643853
3,8.169230769230754,3.6026410065703494
4,7.769230769230745,3.423483173178603
5,7.261538461538464,3.2692778679362475
6,6.780769230769224,3.1841575430966444
7,6.3423076923076955,3.199141088433535
8,6.0269230769231035,3.2565853509693476
9,5.792307692307696,3.291101357926879
10,5.611538461538484,3.2124964332016517
11,5.538461538461534,3.126422639138624
12,5.392307692307688,3.0975641565113228
13,5.176923076923088,3.0669951514893627
14,5.29230769230769,2.9712598649706132
15,6.849999999999993,2.873905588799558
16,9.600000000000012,3.375581157096974
17,11.90384615384613,4.0751041795362815
18,13.442307692307697,4.494956844847016
19,14.403846153846132,4.697783559336293
20,14.842307692307697,4.7681551677460865
21,14.884615384615353,4.72852964383143
22,14.219230769230732,4.452237057347106
23,12.326923076923071,4.006574227071931
24,10.230769230769248,3.7391541923373626
25,9.180769230769249,3.5924962950056925
26,8.873076923076907,3.4708372348917647
27,8.788461538461537,3.3235255711702028
28,8.611538461538455,3.1787465500775034
29,8.226923076923077,3.07980999894955
30,7.780769230769233,2.9248893616302443
31,7.438461538461543,2.79520223875761
32,7.226923076923073,2.772438423989758
33,7.123076923076912,2.795509626897048
34,6.9769230769230735,2.80170318569629
35,6.8038461538461386,2.826092709024246
36,6.788461538461551,2.9361022285159444
37,6.784615384615359,3.0705579176960534
38,6.815384615384611,3.115761603584326
39,8.14615384615383,3.1719418050801016
40,10.765384615384606,3.6653027766399386
41,12.984615384615358,4.324764176829204
42,14.442307692307685,4.7974700122583895
43,15.376923076923063,5.127367384564549
44,15.784615384615362,5.228197054859777
45,15.676923076923096,5.126014985310678
46,14.826923076923059,4.699757282936909
47,12.938461538461546,4.158062226744747
48,10.919230769230783,3.839508070342114
49,9.796153846153818,3.6610482206704233
50,9.461538461538456,3.6186758372110113
51,9.384615384615403,3.60968245243365
52,9.234615384615383,3.490246727986751
53,8.846153846153845,3.277062822214542
54,8.457692307692321,3.134309540600018
55,8.14999999999999,3.013778236576019
56,7.919230769230773,2.928442893036806
57,7.769230769230745,2.9998814791402824
58,7.6423076923077,3.2099590397755913
59,7.426923076923084,3.315894382448807
60,7.22692307692307,3.268509684176499
61,7.00000000000002,3.163645342299268
62,6.915384615384624,3.073191127102853
63,8.299999999999988,3.111841184179481
64,11.09230769230769,3.624296611195878
65,13.473076923076928,4.219533061756865
66,14.923076923076941,4.533026133382195
67,15.73846153846154,4.741982707686733
68,16.111538461538476,4.743870899498754
69,16.088461538461498,4.569335797425008
70,15.373076923076951,4.255076271240514
71,13.461538461538456,3.9111767671256827
72,11.373076923076926,3.82257039757863
73,10.300000000000002,3.8234210006417224
74,9.892307692307693,3.839498424032513
75,9.630769230769245,3.8522028330121283
76,9.265384615384601,3.7225499026578244
77,8.826923076923098,3.5051813499869438
78,8.430769230769224,3.4487056079593645
79,8.13846153846154,3.5433819375782165
80,7.938461538461543,3.580258629184748
81,7.753846153846155,3.4942492437972676
82,7.638461538461552,3.429363400593955
83,7.557692307692309,3.4932506351534527
84,7.342307692307697,3.5387149791560923
85,7.092307692307679,3.461543222535504
86,7.18846153846153,3.343861152531218
87,8.699999999999964,3.18899031971865
88,11.373076923076965,3.4082362116018423
89,13.52692307692306,4.001668170669346
90,14.846153846153854,4.46452353228991
91,15.66538461538465,4.725290506452526
92,16.073076923076904,4.800149689023983
93,16.080769230769228,4.706183481650812
94,15.40769230769229,4.41068063950494
95,13.569230769230796,3.983551365488022
96,11.496153846153893,3.8075188771692257
97,10.423076923076938,3.751242757036956
98,10.049999999999983,3.7539056204714853
99,9.907692307692319,3.683122668686531
100,9.738461538461534,3.559433995787866
101,9.442307692307692,3.4380119147446138
102,8.94999999999998,3.3751532201159784
103,8.392307692307673,3.3355104001681104
104,8.011538461538473,3.320278881638085
105,7.865384615384602,3.3246397744161142
106,7.715384615384628,3.291191386221825
107,7.446153846153848,3.209605952507312
108,7.1884615384615485,3.1264534397798265
109,7.007692307692295,3.0322122470419366
110,7.065384615384607,2.9681494421796066
111,8.388461538461543,2.9567574832601364
112,10.89615384615385,3.282846551619719
113,13.092307692307687,3.710940781187633
114,14.61153846153845,3.966842199664242
115,15.565384615384609,4.12437919009682
116,16.03076923076927,4.2200087765399354
117,15.980769230769285,4.225960333550321
118,15.226923076923079,4.04989071640394
119,13.30769230769232,3.6954426387506407
120,11.11538461538458,3.454165493901423
121,9.946153846153813,3.4462991422361724
122,9.503846153846158,3.5734100323443516
123,9.299999999999988,3.7167568499272963
124,9.011538461538446,3.7418890060146537
125,8.626923076923067,3.6203232922959714
126,8.21538461538464,3.4540539788614897
127,7.907692307692307,3.41211783913571
128,7.746153846153837,3.4068427873586677
129,7.642307692307688,3.3776542375068743
130,7.484615384615415,3.3488527609936534
131,7.342307692307692,3.3361166157786024
132,7.161538461538483,3.372621795840408
133,6.992307692307695,3.430019976186296
134,7.06923076923077,3.4179656067445863
135,8.392307692307718,3.2870024619986498
136,10.82307692307691,3.553718970109837
137,12.976923076923104,4.053099408454574
138,14.473076923076928,4.310478189507775
139,15.44999999999998,4.408001142703354
140,15.98461538461534,4.381395008695544
141,16.034615384615392,4.312388699583597
142,15.311538461538472,4.13551376180446
143,13.376923076923116,3.8426456935197564
144,11.223076923076949,3.560216389594984
145,10.219230769230798,3.3473947857777175
146,9.942307692307692,3.358440996344275
147,9.738461538461522,3.5219018431229157
148,9.43461538461541,3.516523957083293
149,8.984615384615376,3.3470119343810065
150,8.519230769230765,3.1505931246413006
151,8.123076923076933,2.868144322005407
152,7.85769230769233,2.654128858966723
153,7.657692307692303,2.515389668656764
154,7.430769230769227,2.509655428613731
155,7.203846153846172,2.614843667871448
156,7.08076923076923,2.7074136900165238
157,7.0230769230769345,2.763497515562212
158,7.080769230769226,2.7683314937447903
159,8.48076923076923,2.7029997054027595
160,11.038461538461538,3.0313424479984175
161,13.20384615384614,3.568016359371232
162,14.846153846153841,3.9232866040830845
163,15.988461538461523,4.139516880023562
164,16.519230769230795,4.1515673077900495
165,16.53076923076921,4.039911990240491
166,15.81538461538463,3.732753923292005
167,13.91538461538465,3.341483369869004
168,11.715384615384666,3.132775364031306
169,10.484615384615344,3.074318954994266
170,10.12692307692309,3.0934123553124953
171,10.123076923076901,3.1189266909793987
172,9.946153846153848,3.0164585563574753
173,9.526923076923085,2.7804849030872827
174,9.126923076923099,2.661430971266175
175,8.79615384615385,2.6966453782980615
176,8.584615384615386,2.7187251914576924
177,8.411538461538449,2.749666646462197
178,8.26153846153846,2.8851189076208126
179,8.138461538461527,3.075870247227243
180,8.026923076923087,3.1811970726150895
181,7.8423076923076795,3.2855080220512267
182,7.776923076923097,3.323755127585086
183,9.05384615384616,3.0873889243777453
184,11.523076923076921,3.1456118759430693
185,13.607692307692279,3.5306236989664734
186,14.992307692307685,3.778112403480518
187,15.865384615384645,3.9447010871125165
188,16.29230769230767,4.0058401809802096
189,16.33076923076917,3.9785201045391516
190,15.707692307692353,3.7310230947199106
191,13.915384615384633,3.311958131780453
192,11.823076923076961,3.1575893289613153
193,10.711538461538446,3.1075463704415487
194,10.230769230769209,3.153739696625908
195,9.965384615384613,3.2029639051631187
196,9.67692307692308,3.127805999477968
197,9.315384615384614,3.0237871765203463
198,8.930769230769233,2.918396312538281
199,8.707692307692295,2.885231873344491
200,8.588461538461535,2.934790042335668
201,8.52307692307694,3.0137856101096014
202,8.438461538461539,3.0974589346514105
203,8.261538461538443,3.131838887110065
204,8.057692307692303,3.072373916287124
